qid,query
1,business
2,data science
3,early education
4,family
5,fashion shows
6,how many stars
7,how to learn algebra
8,I love physics
9,news
10,politics
11,pop music
12,puzzle game
13,science film
14,soccer team
15,art museum recommendations
16,basics about design
17,being a good mom
18,best French restaurants
19,college study suggestions
20,crime
21,group work
22,help sleep
23,how can I know if I am a gay
24,how to find a girlfriend
25,interview suggestions
26,mental disease
27,podcast teaching audience bartending
28,reading
29,relationship
30,skin care
31,sports
32,TED talks
33,TV shows
34,what happens today
35,money
36,what can I do when my life sucks
37,stock market tendency
38,podcasts about rock music in 1980s
39,podcasts when taking a bath
40,podcast when jogging
